○  2023~2025년 기관별 수상작 내역							
기관명	수상연도	수상내역	상금 (만원)	기업명 (기업이 아닐 시 작성X)	참가팀(팀명)	아이템명	아이템 내용(간단히)	활용 공공데이터(대표 2~3개)	분야 (아이디어 기획 / 제품 및 서비스 개발)
고용노동부	2025	장려상	50		이지훤	안심이 (AnSim-E)	<사업장에 쉽고 빠르게 민원 응대 지원하는  AI 기반 스마트 플랫폼> ▸(AI 활용여부) 활용(챗봇) ▸(개요) 사업장 중대재해 관련 AI 민원응대 제공 서비스 플랫폼 ▸(주요기능) 스마트 간편 민원 접수, AI 자동 민원 분석·응답, 커뮤니티 제공 등	근로자 건강센터 현황, 근로자건강센터 설치 운영 정보 등	아이디어 기획
고용노동부	2025	장려상	50		박용환	세이프티 스마트 매니저	<공공데이터를 활용한 인공지능 기반 산업재해 예방 플랫폼> ▸(AI 활용여부) 활용(멀티모달) ▸(개요) AI 활용 중소기업 안전 관리, 산업재해 예방 지능형 플랫폼 ▸(주요기능) 스마트 위험 예측, 맞춤형 안전 대시보드 지원, 안전 교육 제공 등	산재보험 가입현황, 산재보험 요양보상 통계 등	아이디어 기획
고용노동부	2025	최우수상	400		인더닥터	HOOW	<MSDS 자동인식 및 관련 서류 자동생성 서비스> ▸(AI 활용여부) 활용(멀티모달) ▸(개요) MSDS 정보 추출 및 레포트 생성 ▸(주요기능) PDF 파일 인식하여 법적규제사항, 작업공정별 관리요령, 경고표지, 유해성 등 자동 생성하여 출력물 제공	물질안전보건자료 API 등	제품 및 서비스 개발
고용노동부	2025	우수상	200		토닥	Todak	<근로자를 위한 산업재해 AI 서비스> ▸(AI 활용여부) 활용(챗봇) ▸(개요) 내·외국인 근로자를 위한 통합형 산재 대응 플랫폼 ▸(주요기능) 산재 분석·신청, 의료기관 연계, 요양급여 신청, 챗GPT 기반 산재 챗봇 제공 등 	산재보험 판례 판결문 API 등	제품 및 서비스 개발
고용노동부	2025	우수상	200		후스텔라	법톡	<법령 추론형 그래프 RAG 기반 민관용 AI 해석 시스템> ▸(AI 활용여부) 활용(챗봇) ▸(개요) 산업·중대재해 AI 법률 해석 솔루션 ▸(주요기능) 법령‧판례 정보 자동 요약 제공, 관련 법령‧판례 링크 제공 및 검색 지원	안전보건법령 스마트검색 등	제품 및 서비스 개발
고용노동부	2025	장려상	100		베테랑	베테랑	<AI 기반 전화상담 및 맞춤형 일자리 추천 솔루션> ▸(AI 활용여부) 활용(음성+챗봇) ▸(개요) 음성 상담을 통한 맞춤형 일자리 추천 통합 솔루션 ▸(주요기능) AI 음성 상담, 맞춤형 일자리 추천, 일자리 정보 확인 및 연계 제공 등	워크넷 직업정보 API 등	제품 및 서비스 개발
고용노동부	2025	장려상	100		레스트풀	갭로그(GapLog)	<청년들의 공백 이후 취업 준비를 돕는 커리어 회복 솔루션> ▸(AI 활용여부) GPT활용 ▸(개요) 개인 취업역량 기반 맞춤형 정보를 제공하는 취업 지원 서비스 ▸(주요기능) 커리어 관리, 심리 회복, 맞춤 취업 정보 제공 등 	Q-net 자격정보 API 등	제품 및 서비스 개발
고용노동부	2025	장려상	100		다잡고	산학이음	<개인 맞춤형 훈련·일경험 프로그램 제안 서비스> ▸(AI 활용여부) 활용(멀티모달) ▸(개요) 사용자 성격·흥미 기반 훈련 및 체험 프로그램 추천 서비스 ▸(주요기능) 적성 기반 직업 추천, 직업 기반 훈련 및 체험과정 연계 제공 등	직업정보, 훈련과정 API 등	제품 및 서비스 개발
고용노동부	2025	장려상	100		Conalyze	Conalyze	<AI 기반 근로계약서 자동분석 서비스> ▸(AI 활용여부) 활용(멀티모달) ▸(개요) 근로계약서 자동분석 및 개선 권고 제공 서비스 ▸(주요기능) 근로계약서 구성요소 정보 제공 및 일반적인 유의사항 안내 등	고용노동관련 법령 등	제품 및 서비스 개발
국가보훈부	2025	최우수상	100		미니과니	영웅의 발자취	현충시설을 지역별로 연결한 걷기 길 코스를 설계하고 사건·인물 중심의 해설과 함께 걷고, 듣고, 기록할 수 있도록 구성한 체험형 서비스	현충시설정보(국가보훈부)	아이디어 기획
국가보훈부	2025	우수상	30		V-ON	국민과 보훈의 연결, AI 기반 보훈 지식 플랫폼 V-ON	국가보훈부 및 독립기념관의 공개데이터와 생성형 AI LLM 모델을 융합해 국가유공자·독립운동 역사 정보를 접할 수 있도록 하는 AI 보훈지식 플랫폼	나라사랑배움터 카드뉴스(국가보훈부), 우리역사이야기(독립기념관)	아이디어 기획
독립기념관	2025	대상	300		당신의 별	생일로 만나는 독립운동가 이야기	사용자가 자신의 생년월일 입력 시, 같은 생일을 가진 독립운동가의 목록 제공, AI를 통해 선택한 인물의 생애 요약 제시하여 조명 받지 못했던 독립운동가의 이름과 이야기를 기억할 수 있게 한 서비스	독립운동가 인명사전 정보 DB(독립기념관)	아이디어 기획
독립기념관	2025	우수상	30		한*정(개인)	AI 인물 도슨트	독립기념관의 9종 공공데이터를 AI멀티모달 기술로 융합하여 사용자 심리 성향 분석을 통해 ‘나와 닮은’ 독립운동가를 매칭하고, 실시간 감정인식 AR디지털 휴먼이 개인별 맞춤 역사 스토리를 제공	인명 사전 편찬 기본 정보(독립기념관),    인명 사전 이미지 정보(독립기념관)	아이디어 기획
한국보훈복지의료공단	2025	우수상	30		사랑과 평화	고령 보훈대상자 병원동행지원서비스 체계 구축 방안	이동 불편과 보호자 공백으로 병원 이용에 어려움을 겪는 고령 보훈대상자를 위해, 병원 방문 전 과정을 1:1로 밀착 지원	2024년 국가보훈대상자 시군구별 대상별 및 성별 연령 1세별 인원(국가보훈부), 2025년 1월 보훈의료 위탁병원 현황(국가보훈부)	아이디어 기획
기상청	2025	최우수상	300	-	inseed	에너지	Multi-Stage Imputation과 시계열 변수 기반 Tweedie-Seed Ensemble 열수요 예측	・열수요 데이터: 한국지역난방공사 19개 지사의 1시간 열수요 실적 ・기상데이터: 지사 인근 AWS, ASOS 지점 관측 및 객관분석 자료 1시간 단위 데이터	아이디어 기획
기상청	2025	최우수상	300	-	성균갈매기	안전방재	TFT–LGBM 하이브리드 모델을 활용한 법정동 단위 119 신고 수요 예측	・소방재난본부 신고 데이터: 부산소방재난본부 일 단위 119 신고 건수 데이터 ・기상데이터: 신고 접수 주소 기준 구역 대표 AWS 일 단위 데이터	아이디어 기획
기상청	2025	최우수상	300	-	인사이트	교통	기상과 지하철 혼잡도 상관분석 및 예측	・지하철 혼잡도 데이터: 서울 지하철 1시간 단위 혼잡도 데이터 ・기상 데이터: 지하철역 인근 AWS, ASOS 지점 관측 및 객관분석자료 1시간 단위 데이터	아이디어 기획
기상청	2025	우수상	150	-	따숩조	에너지	2-Stage CatBoost를 활용한 열수요 예측 모델 개발	・열수요 데이터: 한국지역난방공사 19개 지사의 1시간 열수요 실적 ・기상데이터: 지사 인근 AWS, ASOS 지점 관측 및 객관분석 자료 1시간 단위 데이터	아이디어 기획
기상청	2025	우수상	150	-	rescuable	안전방재	기상데이터와 기상특보를 활용한 119 신고 건수 예측	・소방재난본부 신고 데이터: 부산소방재난본부 일 단위 119 신고 건수 데이터 ・기상데이터: 신고 접수 주소 기준 구역 대표 AWS 일 단위 데이터	아이디어 기획
기상청	2025	우수상	150	-	기상공화국	교통	기상 요소와 주기성 및 특이성을 고려한 지하철혼잡도 예측 모델	・지하철 혼잡도 데이터: 서울 지하철 1시간 단위 혼잡도 데이터 ・기상 데이터: 지하철역 인근 AWS, ASOS 지점 관측 및 객관분석자료 1시간 단위 데이터	아이디어 기획
기상청	2025	특별상	150	-	강냉이	에너지	기상 조건 기반 열 수요 예측 정확도 향상을 위한 다중 모델 앙상블 시스템 연구	・열수요 데이터: 한국지역난방공사 19개 지사의 1시간 열수요 실적 ・기상데이터: 지사 인근 AWS, ASOS 지점 관측 및 객관분석 자료 1시간 단위 데이터	아이디어 기획
기상청	2025	특별상	150	-	JavaZip	안전방재	STL 기반 XGBoost를 통한 119 신고건수 예측	・소방재난본부 신고 데이터: 부산소방재난본부 일 단위 119 신고 건수 데이터 ・기상데이터: 신고 접수 주소 기준 구역 대표 AWS 일 단위 데이터	아이디어 기획
기상청	2025	장려상	50	-	체크난방	에너지	지역난방 열수요와 날씨 빅데이터를 융합한 열수요 예측	・열수요 데이터: 한국지역난방공사 19개 지사의 1시간 열수요 실적 ・기상데이터: 지사 인근 AWS, ASOS 지점 관측 및 객관분석 자료 1시간 단위 데이터	아이디어 기획
기상청	2025	장려상	50	-	aeternum	안전방재	기상 빅데이터 융합을 통한 부산시 119신고 건수 예측 모델	・소방재난본부 신고 데이터: 부산소방재난본부 일 단위 119 신고 건수 데이터 ・기상데이터: 신고 접수 주소 기준 구역 대표 AWS 일 단위 데이터	아이디어 기획
기상청	2025	장려상	50	-	KISTECH_V03	교통	지하철혼잡도 상관분석	・지하철 혼잡도 데이터: 서울 지하철 1시간 단위 혼잡도 데이터 ・기상 데이터: 지하철역 인근 AWS, ASOS 지점 관측 및 객관분석자료 1시간 단위 데이터	아이디어 기획
대구광역시	2025	최우수상	200		신세릭스	개인정보 유출에 안전한 공공데이터 개방을 위한 합성데이터 솔루션	개인정보가 포함된 데이터를 안전하게 활용할 수 있도록, 개인 식별이 불가능한 가상 데이터를 생성하여 개방하는 솔루션	대국민 건강검진정보	제품 및 서비스 개발
대구광역시	2025	우수상	100		Bindung	외국인 노동자를 위한 리뷰 기반 일자리 정보 제공 플랫폼	실제 근무자들의 리뷰를 기반으로 외국인 노동자에게 투명한 구인 정보와 맞춤형 일자리를 연결해주는 플랫폼	지역별, 업종별 외국인근로자 현황(고용노동부), 기업기본정보(금융위원회)	제품 및 서비스 개발
대구광역시	2025	최우수상	150		스마트케어	AI기반 노년층 맞춤형 병원 추천 시스템	데이터 기반 개인 맞춤형 진료과 추천	국민건강보험공단 진료내역정보, 대구시 의료기관 현황 데이터	아이디어 기획
대구광역시	2025	우수상	50		Urban DG	돌봄공백제로	고령 보호자의 위급 상황(입원·사망 등) 시 발생하는 반려동물 방치 및 유기 문제를 해결하는 사전 예방 중심의 긴급 돌봄 매칭 플랫폼	인구 통계 데이터,  반려동물 등록 데이터	아이디어 기획
건강보험심사평가원	2025	최우수상	200	-	뮤킷	미세유체 칩 기반 중증도 현장 진단 키트	재난 응급 상황에서 환자의 중증도를 신속하게 판별하고, 치료 우선순위를 최적화하는 현장 진단 솔루션 개발	중증 환자 건강보험 청구자료(심평원), 119 구급서비스 통계(소방청)	아이디어 기획
건강보험심사평가원	2025	최우수상	800	싸이카이	싸이카이	시력/시각 및 안구 정보 기반 자폐스펙트럼장애 조기 예측 AI 서비스	안과 의료 데이터(안저 사진 등), 시력/시각 표현형 데이터 기반 자폐스펙트럼장애(ASD) 진단 예측 결과 도출 및 추적 서비스	질병/행위별 의료 통계(심평원),  진료정보 샘플데이터(심평원)	제품 및 서비스 개발
건강보험심사평가원	2025	우수상	160	-	프린스톤	위암 환자를 위한 담석증 디지털 자가 관리 솔루션 ‘돌담’	위암 환자를 대상으로 통증 관리, 배액 관리, 위험 예측 알고리즘, 우리 동네 의원 찾기 등의 기능을 제공	맞춤형 DB(위암 수술 등)(심평원),  전국 병의원 및 약국 현황(심평원)	아이디어 기획
건강보험심사평가원	2025	우수상	600	케어마인더	케어마인더	환자음성기반 간호업무 자동화 AI RAG 스마트베드	병실 내 입원환자들의 음성 요청사항을 AI가 분석해 간호업무 담당자에게 자동 분장하는 서비스 제공	응급실 임상 대화 데이터	제품 및 서비스 개발
건강보험심사평가원	2025	장려상	100	-	드럭가이즈	약은 약사에게, 보상은 당신에게 ‘약 먹는 하마’	폐의약품 반납을 중심으로, 약국 내 데이터 수거–보상–상담–소비로 이어지는 순환형 건강관리 플랫폼	내가 먹는 약! 한눈에(심평원),  인공지능 개발을 위한 알약 이미지 데이터(약학정보원)	아이디어 기획
건강보험심사평가원	2025	장려상	300	네로	네로	하이브리드 AI 앱 기반 정신건강 고위험군 원스톱 사후관리 플랫폼	환자의 주호소 기반의 맞춤 사전문진․위험도 제시 및 내 주변 정신건강의학과 정보 제공․예약 기능 서비스	병원진료정보조회서비스(심평원),  병원정보서비스(병원기본목록)(심평원)	제품 및 서비스 개발
건강보험심사평가원	2025	입선	-	-	새뮤얼슨	우리집주치의	AI 기반 맞춤형 방문진료 플랜과 의사-환자 매칭을 통해 방문진료 의료진의 행정 부담을 완화하는 노인 통합케어 플랫폼	전국 병의원 및 양국 현황(심평원),  비급여 진료비 정보 조회 서비스(국민건강보험공단)	아이디어 기획
건강보험심사평가원	2025	입선	-	컴포랩스	컴포랩스	재활환자 맞춤형 헬스케어를 위한 자세·체형 분석 SaaS 서비스	병원, 물리치료소 등이 맞춤형 재활 헬스케어 서비스를 기획 및 개발할 수 있도록 확장 가능한 SaaS형 플랫폼 인프라 제공	진료정보 및 처방기록(재활치료 이력)(심평원),  근골격계 기능, 운동능력 등 검진 정보(국민건강보험공단)	아이디어 기획
건강보험심사평가원	2025	입선	-	-	키키커커	성 조숙증 위험군 예측 기반 공공 성장모니터링 시스템	성 조숙증 조기발견을 위한 AI 기반 위험도 예측 시스템 개발	영유아 건강검진(7차)(국민건강보험공단), 국민건강보험 진료/청구 이력(심평원, 국민건강보험공단)	아이디어 기획
건강보험심사평가원	2025	입선	-	-	팜콜	품절예상약·회수약·판매금지약 정보를 실시간 제공하는 보건의료인 맞춤형 의약품 솔루션 플랫폼	약사가 실제 필요로 하는 맞춤형 의약품 이슈를 실시간으로 전달하는 지능형 알림 및 통합주문 플랫폼	의약품개요정보(e약은요)(식품의약품안전처), 의약품 제품 허가 정보(식품의약품안전처)	아이디어 기획
건강보험심사평가원	2025	입선	-	-	it송이	SOSAI Alert	실시간으로 응급 상황에 대응할 수 있도록 개발된 음성 기반 헬스케어 플랫폼	질병별 진료 통계(심평원), 응급처치 매뉴얼(소방청, 보건복지부)	아이디어 기획
건강보험심사평가원	2025	입선	-	-	다마고치	피지컬:로그-유사군 비교 기반 점진 코칭과 게이미피케이션(Gameification)으로 건강 행동 변화를 유도하는 헬스 앱 개발	게이미피케이션 요소를 활용한 건강 행동 변화 유도 및 사용자 데이터 기반 건강 리포트와 맞춤 코칭 제공	국민건강영양조사(2017~2023)(질병관리청)	제품 및 서비스 개발
건강보험심사평가원	2025	입선	-	㈜디앤씨바이오테크놀로지	㈜디앤씨바이오테크놀로지	개인 건강 데이터 및 보건의료빅데이터 기반 맞춤형 의료 지도	수집된 생체 정보와 자가 보고된 증상 기반으로 이상 여부를 분석하여 적절한 진료과와 병원을 추천하는 시스템	병원정보서비스(심평원), 요양기관 개설 현황(심평원)	제품 및 서비스 개발
건강보험심사평가원	2025	입선	-	-	페어런티	페어런티	임신 준비 단계에서의 정보·관리 부재 문제 해결 및 난임 및 임신 합병증 위험을 예방하는 통합관리 플랫폼	난임시술/진료행위 통계(심평원), 환자표본자료(심평원)	제품 및 서비스 개발
건강보험심사평가원	2025	입선	-	-	포스트얼라인	나의 암 환자 케이스와 유사한 공공데이터 예후 탐색 및 임상 문헌 요약 서비스“My Case Scan”	암 환자 진료 중에 희귀 케이스 발생 시 유사케이스의 예후와 최신문헌을 제시하는 정보제공서비스	청구 데이터(심평원), 코호트 데이터(국민건강보험공단)	제품 및 서비스 개발
건강보험심사평가원	2025	입선	-	-	VANTIX	AI의 사각지대를 조명하는 공공의료 데이터 기반 엣지 케이스 분석 플랫폼	의료 인공지능(AI)의 판단 오류를 유발하는 ‘엣지 케이스(edge case)’를 식별하고, 이를 통해 AI의 성능을 보완하는 신뢰성 향상 플랫폼	진료데이터 샘플(심평원), 감염병 DB(질병관리청)	제품 및 서비스 개발
한국사회보장정보원	2025	대상	700	-	에브리웨어	에브리웨어	장애인 맞춤형 의류 큐레이션 제공 플랫폼	장애인 체형 실측 데이터 및 성인 남성·여성복 치수 표준 데이터 등(국가기술표준원), 의류 통합 데이터(과학기술정보통신부)	아이디어 기획
한국사회보장정보원	2025	최우수상	500	-	PASCAL	오라(ORA)	고령친화 음성인식 기반 AI 복지 지원 서비스	전국 노인복지시설 표준데이터(보건복지부, 공공데이터포털)	아이디어 기획
한국사회보장정보원	2025	최우수상	500	-	조성O	알고(RGO)	복지상담부터 신청까지 원스톱 서비스를 제공하는 무인복지상담기 개발	사회복지시설 및 복지 현황 정보(공공데이터포털), 중앙부처 및 지자체 최신복지서비스(복지로)	아이디어 기획
한국사회보장정보원	2025	우수상	300	-	사각에서 원으로	꿈자람  플러스 2.0	전국 통합 아동급식카드 지원 시스템 개발	아동급식 지원 데이터 및 지자체별 운영중인 아동급식 데이터(보건복지부)	아이디어 기획
한국사회보장정보원	2025	우수상	300	한국장애인고용공단	한국장애인고용공단	-	공공데이터 간 결합·활용을 통한 정신질환자 혹은 정신장애인 AI코디 파견 및 사례관리 서비스	장애인실태조사(보건복지부)	아이디어 기획
한국사회보장정보원	2025	장려상	100	-	홍길동	자립정보 ON+	기존에 운영되고 있는 ‘자립정보ON’ 시스템 보완을 통해, 자립준비청년의 개별 상황에 최적화된 서비스를 제공하는 AI 기반 맞춤형 자립지원 플랫폼 구축	소비자행태조사정보, 공공기관 청년 일자리 정보, 국민취업지원제도 정책정보	아이디어 기획
한국사회보장정보원	2025	장려상	100	-	세이프머니랩	D-Money Care	치매 등 인지 저하 고령자의 이상 금융 소비를 공공데이터 기반 AI로 조기 탐지하고, 보호자에게 실시간 경고를 제공하는 금융 위험 탐지·예방 플랫폼	복지대상자 정보(행정안전부), 기초연금 수급 이력(보건복지부), 금융사기 민원 데이터(공공데이터포털)	아이디어 기획
한국사회보장정보원	2025	장려상	100	-	새로미하삼	-	AI 분석으로 기부수요 해소와 복지 멤버십으로 연계하여 복지 사각지대 대상을 발굴하는 앱 기반 전국 맞춤형 기부 솔루션	건강진료보험심사정보(건강보험심사평가원), 고용보험정보(고용노동부, 고용보험공단)	아이디어 기획
한국사회보장정보원	2025	장려상	100	리틀플래닛	리틀플래닛	채움온	경기도 지역 아동의 복지 증진과 지역경제 활성화를 동시에 달성하는 지역화폐 기반 공용 기부 플랫폼	아동 급식 카드 가맹점 현황 및 지역화폐 가맹점 현황(공공데이터포털)	아이디어 기획
한국사회보장정보원	2025	장려상	100	-	M&amp;H	요양매칭 플러스	공공데이터를 기반으로 이용자의 건강과 상황에 맞는 요양시설을 쉽고 정확하게 찾아주는 맞춤형 추천 플랫폼 개발	요양기관 개설현황 및 장기요양기관 시설별 현황(공공데이터포털)	아이디어 기획
한국사회보장정보원	2025	장려상	100	-	상호작용	-	세대 간 사회적 고립, 우울감 해소를 위한 문화활동과 세대 간 연결을 지원하는 노인-청년 연결 서비스 플랫폼 구축	인구통계 데이터(통계청), 복지시설 데이터(보건복지부)	아이디어 기획
한국사회보장정보원	2025	장려상	100	-	Dscover	안심  식사 존	저소득층 고령자 식사 지원을 위한 공공데이터 기반의 최적 입지 분석과 복합 기능형 거점 설계를 결합한 맞춤형 식사 지원 모델 제안	보건복지부_응급안전안심서비스 대상자 기본정보 및 전국무료급식소 표준데이터(공공데이터포털)	아이디어 기획
한국사회보장정보원	2025	장려상	100	-	아이랑	아이랑	육아 부모를 위해 공공기관의 유익한 체험 정보를 쉽고 빠르게 찾아주는 공공 큐레이션 앱	박물관·미술관 운영정보 API, 공공도서관 운영정보 API	아이디어 기획
한국사회보장정보원	2025	장려상	100	-	국민건강동행	-	노인 생활체육 활성화와 건강보험 인센티브를 연계한 국가 주도형 통합 시스템 운영	국민건강정보 빅데이터(국민건강보험공단), 주민등록인구통계(행정안전부)	아이디어 기획
한국사회보장정보원	2025	장려상	100	-	온세이프	-	기후위기 취약계층(노인, 저소득층 등) 및 모든 국민이 안전하게 보호받을 수 있는 개인 맞춤형 쉼터 제공 복지 서비스 앱 개발	서울특별시 무더위쉼터 및 한파쉼터 데이터(공공데이터포털), 서울시 실시간 도시 혼잡도 데이터(서울 열린데이터광장)	아이디어 기획
